Longitude,Latitude,Address,City,State,Zipcode,Name,Group,URL
-118.4440562,34.070264,,Los Angeles,CA,90095,UC Los Angeles,UC,http://ucla.edu
-117.2402136,32.8806656,9500 Gilman Dr,La Jolla,CA,92093,UC San Diego,UC,http://ucsd.edu
-119.848947,34.413963,"University of California,Santa Barbara",Santa Barbara,CA ,93106,UC Santa Barbara,UC,ucsb.edu
-122.0589534,36.9956929,1156 High St,Santa Cruz,CA,95064,UC Santa Cruz,UC,ucsc.edu
-117.844296,33.640495,University of California Irvine,Irvine,CA,92697,UC Irvine,UC,uci.edu
-117.3242595,33.9745449,900 University Avenue,Riverside,CA,92521,UC Riverside,UC,ucr.edu
-120.4311096,37.3637343,5200 Lake Road,Merced,CA,95343,UC Merced,UC,ucmerced.edu
-121.7489592,38.5345143,1 Shields Avenue,Davis,CA,95616,UC Davis,UC,ucdavis.edu
-122.26073,37.871796,UCB,Berkeley,CA,94720,UC Berkeley,UC,berkeley.edu
-122.4587043,37.7634602,500 Parnassus Avenue,San Francisco,CA,94143,UC San Francisco,UC,ucsf.edu
-124.0790979,40.8744392,1 Harpst St,Arcata,CA,95521,Humboldt,CSU,https://www.humboldt.edu/_
-121.8463457,39.7279291,400 W 1st St,Chico,CA,95929,Chico,CSU,www.csuchico.edu/_
-122.6733474,38.3393615,1801 E Cotati Ave,Rohnert Park,CA,94928,Sonoma State,CSU,https://www.sonoma.edu
-121.4206253,38.5599592,6000 J St,Sacramento,CA,95819,Sacramento,CSU,csus.edu
-122.2317302,38.0697508,200 Maritime Academy Dr,Vallejo,CA,94590,Maritime,CSU,csum.edu
-122.4794032,37.7219699,1600 Holloway Ave,San Francisco,CA,94132,San Francisco,CSU,sfsu.edu
-122.0560019,37.655226,25976 Carlos Bee Blvd,Hayward,CA,94542,East Bay,CSU,csueastbay.edu/_
-121.8848865,37.3348181,1 Washington Sq,San Jose,CA,95112,San Jose State,CSU,sjsu.edu
-120.8571732,37.5237586,1 University Cir,Turlock,CA,95382,Stanislaus,CSU,csustan.edu
-121.8080914,36.6544335,100 Campus Center,Seaside,CA,93955,Monterey,CSU,csumb.edu
-120.6531793,35.2959663,San Luis Obispo,San Luis Obispo,,93407,Cal Poly,CSU,calpoly.edu
-119.0459178,34.1652484,1 University Dr,Camarillo,CA,93012,Channel Islands,CSU,csuci.edu
-119.7462226,36.8108284,5241 N Maple Ave,Fresno,CA,93740,Fresno State,CSU,fresnostate.edu
-119.1032316,35.3514594,9001 Stockdale Hwy,Bakersfield,CA,93311,Bakersfield,CSU,csub.edu
-118.5295428,34.2433237,18111 Nordhoff Street,Northridge,CA,91330,Northridge,CSU,csun.edu
-117.3216899,34.1836662,5500 University Pkwy,San Bernardino,CA,92407,San Bernadino,CSU,csusb.edu
-117.889915,33.8778593,800 North State College Blvd,Fullerton,CA,92831,Cal Fullerton,CSU,fullerton.edu
-117.8149838,34.0498868,3801 W Temple Ave,Pomona,CA,91768,Pomona,CSU,csupomona.edu
-118.1209844,33.7680905,250 Bellflower Blvd,Long Beach,CA,90840,CSU Long Beach,CSU,csulb.edu
-118.2589841,33.8652873,1000 E Victoria Street,Carson,CA,90747,Dominguez Hills,CSU,csudh.edu
-117.1595291,33.1287176,333 South Twin Oaks Valley Rd,San Marcos,CA,92078,San Marcos,CSU,csusm.edu
-117.0727092,32.7719139,5500 Campanile Dr,San Diego,CA,92182,San Diego State,CSU,sdsu.edu
