Address,City,State,Zipcode,Name,Group,URL
UCLA,Los Angeles,CA,90095,UC Los Angeles,UC,http://ucla.edu
9500 Gilman Dr,La Jolla,CA,92093,UC San Diego,UC,http://ucsd.edu
"University of California,Santa Barbara",Santa Barbara,CA ,93106,UC Santa Barbara,UC,ucsb.edu
1156 High St,Santa Cruz,CA,95064,UC Santa Cruz,UC,ucsc.edu
University of California Irvine,Irvine,CA,92697,UC Irvine,UC,uci.edu
900 University Avenue,Riverside,CA,92521,UC Riverside,UC,ucr.edu
5200 Lake Road,Merced,CA,95343,UC Merced,UC,ucmerced.edu
1 Shields Avenue,Davis,CA,95616,UC Davis,UC,ucdavis.edu
UCB,Berkeley,CA,94720,UC Berkeley,UC,berkeley.edu
500 Parnassus Avenue,San Francisco,CA,94143,UC San Francisco,UC,ucsf.edu
1 Harpst St,Arcata,CA,95521,Humboldt,CSU,https://www.humboldt.edu/_
400 W 1st St,Chico,CA,95929,Chico,CSU,www.csuchico.edu/_
1801 E Cotati Ave,Rohnert Park,CA,94928,Sonoma State,CSU,https://www.sonoma.edu
6000 J St,Sacramento,CA,95819,Sacramento,CSU,csus.edu
200 Maritime Academy Dr,Vallejo,CA,94590,Maritime,CSU,csum.edu
1600 Holloway Ave,San Francisco,CA,94132,San Francisco,CSU,sfsu.edu
25976 Carlos Bee Blvd,Hayward,CA,94542,East Bay,CSU,csueastbay.edu/_
1 Washington Sq,San Jose,CA,95112,San Jose State,CSU,sjsu.edu
1 University Cir,Turlock,CA,95382,Stanislaus,CSU,csustan.edu
100 Campus Center,Seaside,CA,93955,Monterey,CSU,csumb.edu
San Luis Obispo,San Luis Obispo,,93407,Cal Poly,CSU,calpoly.edu
1 University Dr,Camarillo,CA,93012,Channel Islands,CSU,csuci.edu
5241 N Maple Ave,Fresno,CA,93740,Fresno State,CSU,fresnostate.edu
9001 Stockdale Hwy,Bakersfield,CA,93311,Bakersfield,CSU,csub.edu
18111 Nordhoff Street,Northridge,CA,91330,Northridge,CSU,csun.edu
5500 University Pkwy,San Bernardino,CA,92407,San Bernadino,CSU,csusb.edu
800 North State College Blvd,Fullerton,CA,92831,Cal Fullerton,CSU,fullerton.edu
3801 W Temple Ave,Pomona,CA,91768,Pomona,CSU,csupomona.edu
250 Bellflower Blvd,Long Beach,CA,90840,CSU Long Beach,CSU,csulb.edu
1000 E Victoria Street,Carson,CA,90747,Dominguez Hills,CSU,csudh.edu
333 South Twin Oaks Valley Rd,San Marcos,CA,92078,San Marcos,CSU,csusm.edu
5500 Campanile Dr,San Diego,CA,92182,San Diego State,CSU,sdsu.edu
